claim_id,date_claimed,actor,country,actor_category,claim_verbatim,topic_tag,platform,post_url,archived_url,verdict,verdict_source,source_url,source_date,views,reposts,likes,platform_corrected,claim_status,electoral_political_impact,notes
UK::C0001,2012-04-19,Yaxley-Lennon,United Kingdom,Primary,"@Mrs_WiseGuy Mohammed was 56, Aisha was 9 now stop flirting with me",anti-muslim hate,Twitter,https://twitter.com/TRobinsonNewEra/status/202458978469429248,https://web.archive.org/web/20170104115737/https://twitter.com/trobinsonnewera/status/202458978469429248,unverified — no published check,,,,,,,Unknown,archived-only,,Tweet text extracted from static HTML archive. Tweet ID 202458978469429248 decodes to approx 19 Apr 2012. Verbatim confirmed from direct HTML fetch.
UK::C0002,2012-05-18,Yaxley-Lennon,United Kingdom,Primary,Guns dont kill people islam does. Backward cult breeding hostility towards us. Stick that in ya islamaphobia meeting.,anti-muslim hate,Twitter,https://twitter.com/TRobinsonNewEra/status/214836543335055360,https://web.archive.org/web/20150603145351/https://twitter.com/TRobinsonNewEra/status/214836543335055360,unverified — no published check,,,,,,,Unknown,archived-only,,Tweet text extracted from static HTML archive. Tweet ID 214836543335055360 decodes to approx 18 May 2012. Verbatim confirmed from direct HTML fetch.
UK::C0003,2013-10-04,Yaxley-Lennon,United Kingdom,Primary,"Islam [is] fuelling a global war/Holocaust on Christians [Twitter, 4 October 2013]",anti-muslim/other,Twitter,,,,New Statesman,https://www.newstatesman.com/politics/2013/10/who-needs-tommy-robinson-and-edl-when-islamophobia-has-gone-mainstream,2013-10-10,,,,No,documented-no-formal-check,,Pre-2015 but included for documented pattern continuity. New Statesman confirms tweet cluster: also tweeted 6 Oct: 'sharia legalises paedophilia'. Two days before publicised Quilliam 'defection'.
UK::C0004,2013-10-06,Yaxley-Lennon,United Kingdom,Primary,"sharia legalises paedophilia [Twitter, 6 October 2013 — two days before publicised 'defection' to Quilliam Foundation]",anti-muslim/other,Twitter,,,,New Statesman,https://www.newstatesman.com/politics/2013/10/who-needs-tommy-robinson-and-edl-when-islamophobia-has-gone-mainstream,2013-10-10,,,,No,documented-no-formal-check,,New Statesman confirms tweet date (6 October 2013). Also tweeted 4 Oct: Islam fuelling 'global war/Holocaust on Christians'; 5 Oct: '2 more muslim paedos caught in Bristol'. Tweets directly contradict the Quilliam 'defection' narrative two days later.
UK::C0005,2014-02-28,Farage,United Kingdom,Primary,Parts of the UK have become 'unrecognisable' due to the impact of mass immigration over the past decade.,immigration/race,speech/rally,,https://web.archive.org/web/20240101000000*/https://www.bbc.com/news/uk-politics-26376026,,BBC News,https://www.bbc.com/news/uk-politics-26376026,2014-02-28,,,,,documented-no-formal-check,,UKIP spring conference. BBC reported. Farage said he felt 'slightly awkward' hearing other languages on a London-to-Kent train. No formal fact-check verdict; documented as reported public speech.
UK::C0006,2014-03-31,Farage,United Kingdom,Primary,"As an operator, but not as a human being, I would say Putin. The way he played the whole Syria thing. Brilliant.",eu/russia/other,press/interview (GQ Magazine),,https://web.archive.org/web/20240101000000*/https://www.theguardian.com/politics/2014/mar/31/farage-i-admire-putin,,Guardian; Sky News; PA Media fact-check,https://pa.media/blogs/fact-check/fact-check-nigel-farage-said-he-admired-vladimir-putin-more-than-a-decade-ago/,2025-03-10,,,,,documented-no-formal-check,,GQ Magazine interview published by Guardian/Sky News 31 March 2014. Farage named Putin as the world leader he most admired 'as an operator'. PA Media fact-check (March 2025) confirmed comments genuine but >10 years old. Farage never formally disowned the statement. Resurfaced during 2022 Ukraine invasion and June 2024 election campaign. Sky News original: https://news.sky.com/story/nigel-farage-putin-is-leader-i-admire-most-10411596
UK::C0007,2014-05-00,Paul Golding / Britain First (amplifier),United Kingdom,Amplifier / network,[Video recorded inside Bradford mosques and others in Glasgow/Luton/East London; confronted worshippers about 'grooming gangs'; proselytised Christianity],anti-muslim,other (Facebook/YouTube video),,,Condemned as intimidatory and provocative; all major Christian denominations denounced Britain First,ADL report; Hope Not Hate; Wikipedia (citing multiple press sources),https://www.adl.org/resources/article/britain-first-what-you-need-know,2017-11-29,,,,No — Facebook removed video content in March 2018,documented-no-formal-check,Jan 2025 grooming-gangs episode: Musk net favourability fell to -35 but Reform polling held at record highs (More in Common; YouGov Jan 2025).,May 2014 mosque invasions in Bradford and elsewhere. Members presented army-issue Bibles and leaflets on grooming gangs. Golding told councillors they 'had been warned'. MP George Galloway demanded police action. Led to court injunction banning Golding from mosques. Source also: https://en.wikipedia.org/wiki/Britain_First
UK::C0008,2014-05-16,Farage,United Kingdom,Primary,"I was asked if a group of Romanian men moved in next to you, would you be concerned? And if you lived in London, I think you would be. [When asked what the difference was versus German children:] You know what the difference is.",immigration/race,LBC Radio,,https://web.archive.org/web/20240101000000*/https://www.bbc.com/news/uk-27459923,,BBC News; ITV News; Hope Not Hate,https://www.bbc.com/news/uk-27459923,2014-05-18,,,,,documented-no-formal-check,,"LBC interview with James O'Brien, 16 May 2014. Farage's refusal to explain the difference was widely condemned as racist by Labour (Yvette Cooper, Diane Abbott, David Lammy). Farage issued partial apology then re-defended comments. ITV News also reported: https://www.itv.com/news/story/2014-05-17/farage-defends-fair-minded-romania-comments/"
UK::C0009,2014-10-01,Farage,United Kingdom,Primary,"People who do not have HIV, to be frank. That's a good start. And people with a skill. [On who should be allowed to immigrate to the UK]",immigration/race,press/interview (Newsweek Europe),,,,Hope Not Hate; Wikipedia (political positions),https://hopenothate.org.uk/2024/09/24/everything-you-need-to-know-farage/,2024-09-24,,,,,documented-no-formal-check,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.","Newsweek Europe interview, October 2014. Farage said immigrants to the UK should not have HIV. Direct precursor to 2015 leaders-debate HIV claims. Documented by Hope Not Hate and Wikipedia political positions article."
UK::C0010,2015-01-01,Yaxley-Lennon,United Kingdom,Primary,"[Launched Pegida UK in 2015, promoting the narrative that Western Europe faces an 'Islamisation' threat — framing Muslim communities as an organised political/religious invasion force]",anti-muslim/immigration,EDL-era/other,,,,Hope Not Hate / BBC,https://hopenothate.org.uk/case-files-stephen-lennon/,2025-03-06,,,,No,documented-no-formal-check,,Hope Not Hate case file confirms 2015 Pegida UK launch. BBC audio b06yfm8b: 'Tommy Robinson's Pegida Ambition' documents Robinson's anti-Muslim framing in this period. Pegida stands for 'Patriotic Europeans Against the Islamisation of the West'.
